OBJECTID,Type,Lien,Nom,NUM_INDEX,SUPERFICIE,PROPRIETE,GESTION,COMPETENCE,TYPO1,TYPO2
2129,Parc-nature,de la,Pointe-aux-Prairies,9562-000,103.81996189201637,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,Parc-nature
2130,Espace,de l',Eau-Vive,,0.12330916540611557,Ville de Montréal,Anjou,Arrondissement,Parc d'arrondissement,Espace vert
2131,,,Grand parc de l'Ouest,9512-000,0.19595449958455108,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,
2132,,,Grand parc de l'Ouest,9512-000,0.6792097867251642,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,
2133,CHSLD,,Joseph-François-Perrault,,0.5214017199973121,Institutionnel,Autre,Gouvernement du Québec,Autre espace vert,Espace institutionnel
2134,Parc,des,Rapides,1215-000,0.48312271738977525,Ville de Montréal,LaSalle,Municipale,Grand parc,Parc urbain
2135,,,Grand parc de l'Ouest,9512-000,11.764067957314317,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,
2136,Parc-nature,de la,Pointe-aux-Prairies,9562-000,1.1182007592101038,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,Parc-nature
2137,Parc,,Ermanno-La Riccia,,3.6156175219903113,Institutionnel,Saint-Léonard,Gouvernement du Québec,Parc d'arrondissement,Parc linéaire
2138,,,,,0.423351544483617,,,,En cours de validation,
2139,,,Grand parc de l'Ouest,9512-000,290.3756836389749,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,
2140,Parc,,Elie-Wiesel,,0.34486303512186633,Ville de Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,Arrondissement,Parc d'arrondissement,Parc de quartier
